longitude,latitude,station,value,area,purpose,height,color,areatype,datatype
139.66016,35.59687,田園調布・780,66.8,231,住宅,668,5,residence,price
139.72392,35.56306,蒲田・600,44.6,132,住宅,446,3,residence,price
139.72498,35.59241,大森・870,56.4,134,住宅,564,4,residence,price
139.70245,35.58529,西馬込・380,46.5,165,住宅,465,3,residence,price
139.71387,35.59181,馬込・870,45.6,161,住宅,456,3,residence,price
139.65891,35.59277,田園調布・1100,42.1,166,住宅,421,3,residence,price
139.69225,35.57986,千鳥町・750,52.4,173,住宅,524,4,residence,price
139.67480,35.58934,多摩川・740,54.5,129,住宅,545,4,residence,price
139.70253,35.57901,池上・700,45.1,190,住宅,451,3,residence,price
139.75003,35.54762,穴守稲荷・500,37.1,85,住宅,371,2,residence,price
139.71783,35.55458,雑色・550,38.4,165,住宅,384,2,residence,price
139.70502,35.56052,蓮沼・700,41.6,121,住宅,416,3,residence,price
139.73238,35.56459,梅屋敷・590,39.5,122,住宅,395,2,residence,price
139.70029,35.55701,矢口渡・650,37.8,196,工場兼住宅,378,2,residence,price
139.74318,35.56918,大森町・1300,35.9,158,住宅兼工場,359,2,residence,price
139.70747,35.55065,雑色・800,37.4,99,住宅,374,2,residence,price
139.72144,35.56992,梅屋敷・800,38.0,180,事務所、寄宿舎兼倉庫,380,2,residence,price
139.73862,35.56361,大鳥居・1300,35.1,100,住宅,351,2,residence,price
139.73160,35.55153,糀谷・600,39.7,101,工場兼住宅,397,2,residence,price
139.71112,35.54182,六郷土手・650,36.3,179,住宅,363,2,residence,price
139.73865,35.57650,平和島・480,40.7,69,住宅,407,2,residence,price
139.68401,35.56782,下丸子・100,60.7,172,作業所、事務所兼住宅,607,4,business,price
139.72058,35.56100,蒲田・400,126.0,148,事務所,1260,7,business,price
139.72285,35.58410,大森・400,79.0,176,店舗兼共同住宅,790,6,business,price
139.69377,35.59904,洗足池・200,58.5,228,店舗兼共同住宅,585,4,business,price
139.68744,35.60639,大岡山（近接）,97.0,114,店舗,970,6,business,price
